N,wall-time,pi_estimate, relative-error
1,0.02665043,4.00000000,0.85840735
1001,0.01635135,3.14085914,0.00073351
2001,0.01140185,3.16041979,0.01882714
3001,0.01179572,3.17094302,0.02935037
4001,0.01198529,3.15621095,0.01461829
5001,0.00794470,3.11937612,0.02221653
6001,0.00341371,3.15347442,0.01188177
7001,0.00364186,3.16640480,0.02481215
8001,0.00457899,3.12360955,0.01798310
9001,0.00486297,3.14898345,0.00739079
10001,0.00539687,3.12728727,0.01430538
11001,0.00565412,3.15353150,0.01193884
12001,0.00674536,3.14340472,0.00181206
13001,0.00725602,3.14498885,0.00339619
14001,0.00769704,3.14606100,0.00446834
15001,0.00817378,3.13632425,0.00526841
16001,0.00841182,3.13080432,0.01078833
17001,0.00876818,3.14852068,0.00692802
18001,0.00992468,3.13315927,0.00843338
19001,0.01013811,3.14341350,0.00182085
