N,cpu-time, pi_estimate, relative error
1,0.00001300,0.00000000, 3.14159265
1001,0.00002300,3.21278721, 0.07119456
2001,0.00003900,3.16241879, 0.02082614
3001,0.00005400,3.17760746, 0.03601481
4001,0.00007000,3.19420145, 0.05260880
5001,0.00008500,3.17376525, 0.03217259
6001,0.00010100,3.17347109, 0.03187843
7001,0.00011600,3.16469076, 0.02309810
8001,0.00013200,3.16160480, 0.02001215
9001,0.00014800,3.15920453, 0.01761188
10001,0.00016500,3.15128487, 0.00969222
11001,0.00017900,3.15789474, 0.01630208
12001,0.00019400,3.16173652, 0.02014387
13001,0.00021200,3.16406430, 0.02247165
14001,0.00022700,3.16263124, 0.02103859
15001,0.00024400,3.16138924, 0.01979659
16001,0.00025800,3.16530217, 0.02370952
17001,0.00027400,3.16475501, 0.02316236
18001,0.00029100,3.16337981, 0.02178716
19001,0.00030800,3.16299142, 0.02139877
