N,cpu-time, pi_estimate, relative error
10,0.00011239,4.00000000,0.85840735
1010,0.00000446,3.17460317,0.03301052
2010,0.00001384,3.13944223,0.00215042
3010,0.00001104,3.10638298,0.03520967
4010,0.00002312,3.12974052,0.01185213
5010,0.00001769,3.11182109,0.02977157
6010,0.00003393,3.09454061,0.04705204
7010,0.00002439,3.10045662,0.04113603
8010,0.00003735,3.10889111,0.03270154
9010,0.00003106,3.12611012,0.01548253
10010,0.00003718,3.13029576,0.01129689
11010,0.00004028,3.11337209,0.02822056
12010,0.00005169,3.12058628,0.02100638
13010,0.00004443,3.11439114,0.02720151
14010,0.00005353,3.12050257,0.02109008
15010,0.00005113,3.11300640,0.02858626
16010,0.00006163,3.09645177,0.04514088
17010,0.00005779,3.10818438,0.03340827
18010,0.00006220,3.10084407,0.04074858
19010,0.00006447,3.09259259,0.04900006
